Face_Index,Vertex_Coordinates,Red,Green,Blue
0,"(-0.521479, 0.233856, 12.272771); (-0.512226, 0.498734, 12.344106); (-0.802725, 0.558121, 12.400329); (-0.820153, 0.269638, 12.275765)",0.8,0.8,0.8
1,"(-0.802725, 0.558121, 12.400329); (-0.847991, 0.825737, 12.608423); (-1.03227, 1.024155, 12.34); (-1.049706, 0.636383, 12.233962)",0.8,0.8,0.8
2,"(-1.099144, 0.32534, 12.172289); (-0.820153, 0.269638, 12.275765); (-0.802725, 0.558121, 12.400329); (-1.049706, 0.636383, 12.233962)",0.8,0.8,0.8
3,"(-0.844827, 0.013626, 12.122986); (-0.548358, -0.028069, 12.145153); (-0.521479, 0.233856, 12.272771); (-0.820153, 0.269638, 12.275765)",0.8,0.8,0.8
4,"(-0.209723, 0.228531, 12.262659); (-0.213161, 0.46328, 12.361062); (-0.512226, 0.498734, 12.344106); (-0.521479, 0.233856, 12.272771)",0.8,0.8,0.8
5,"(-0.512226, 0.498734, 12.344106); (-0.538612, 0.552689, 12.553088); (-0.847991, 0.825737, 12.608423); (-0.802725, 0.558121, 12.400329)",0.8,0.8,0.8
6,"(-0.548358, -0.028069, 12.145153); (-0.24719, -0.036011, 12.133927); (-0.209723, 0.228531, 12.262659); (-0.521479, 0.233856, 12.272771)",0.8,0.8,0.8
7,"(-0.538612, 0.552689, 12.553088); (-0.512226, 0.498734, 12.344106); (-0.213161, 0.46328, 12.361062); (-0.204074, 0.579025, 12.518141)",0.8,0.8,0.8
8,"(-0.213161, 0.46328, 12.361062); (-0.209723, 0.228531, 12.262659); (0.066082, 0.277618, 12.207809); (0.070003, 0.551056, 12.314466)",0.8,0.8,0.8
9,"(-0.193787, 0.514, 12.761189); (-0.175187, 0.436119, 13.022345); (-0.51091, 0.467392, 13.074668); (-0.532775, 0.511803, 12.802292)",0.8,0.8,0.8
10,"(0.138807, 0.521774, 13.00241); (-0.175187, 0.436119, 13.022345); (-0.193787, 0.514, 12.761189); (0.117182, 0.605698, 12.724833)",0.8,0.8,0.8
11,"(-0.493176, 0.386459, 13.340775); (-0.51091, 0.467392, 13.074668); (-0.175187, 0.436119, 13.022345); (-0.157475, 0.352882, 13.292513)",0.8,0.8,0.8
12,"(-0.175187, 0.436119, 13.022345); (0.138807, 0.521774, 13.00241); (0.158677, 0.443764, 13.286785); (-0.157475, 0.352882, 13.292513)",0.8,0.8,0.8
13,"(-0.51091, 0.467392, 13.074668); (-0.800608, 0.715897, 13.177658); (-0.814759, 0.765656, 12.888202); (-0.532775, 0.511803, 12.802292)",0.8,0.8,0.8
14,"(-0.204074, 0.579025, 12.518141); (-0.213161, 0.46328, 12.361062); (0.070003, 0.551056, 12.314466); (0.070721, 0.634422, 12.516157)",0.8,0.8,0.8
15,"(0.117182, 0.605698, 12.724833); (0.070721, 0.634422, 12.516157); (0.296467, 0.807838, 12.507158); (0.336129, 0.778961, 12.747035)",0.8,0.8,0.8
16,"(0.117182, 0.605698, 12.724833); (-0.193787, 0.514, 12.761189); (-0.204074, 0.579025, 12.518141); (0.070721, 0.634422, 12.516157)",0.8,0.8,0.8
17,"(-0.532775, 0.511803, 12.802292); (-0.538612, 0.552689, 12.553088); (-0.204074, 0.579025, 12.518141); (-0.193787, 0.514, 12.761189)",0.8,0.8,0.8
18,"(-0.280366, 6.360382, 3.283482); (-0.271562, 6.511696, 3.000093); (-0.514633, 6.593491, 3.093161); (-0.521066, 6.441528, 3.374335)",0.0,1.0,0.0
19,"(-0.514633, 6.593491, 3.093161); (-0.767534, 6.657555, 3.180671); (-0.771387, 6.504402, 3.459051); (-0.521066, 6.441528, 3.374335)",0.0,1.0,0.0
20,"(-0.04541, 6.265457, 3.190594); (-0.03459, 6.412193, 2.905638); (-0.271562, 6.511696, 3.000093); (-0.280366, 6.360382, 3.283482)",0.0,1.0,0.0
21,"(-0.503123, 6.750381, 2.812627); (-0.514633, 6.593491, 3.093161); (-0.271562, 6.511696, 3.000093); (-0.255817, 6.669571, 2.718318)",0.8,0.8,0.8
22,"(0.377588, 3.18528, 9.276211); (0.40154, 3.086494, 9.545475); (0.627934, 3.060493, 9.471096); (0.60571, 3.160774, 9.203687)",0.8,0.8,0.8
23,"(0.40154, 3.086494, 9.545475); (0.425517, 2.981544, 9.812702); (0.649685, 2.955505, 9.736322); (0.627934, 3.060493, 9.471096)",0.8,0.8,0.8
24,"(0.154162, 3.22422, 9.353016); (0.177845, 3.120064, 9.621321); (0.40154, 3.086494, 9.545475); (0.377588, 3.18528, 9.276211)",0.8,0.8,0.8
25,"(0.627934, 3.060493, 9.471096); (0.649685, 2.955505, 9.736322); (0.868567, 2.921654, 9.659411); (0.848988, 3.020424, 9.392899)",0.8,0.8,0.8
26,"(0.886153, 1.977455, 12.154985); (0.865054, 1.886368, 12.358705); (1.106852, 2.070679, 12.392998); (1.114197, 2.163757, 12.165763)",0.8,0.8,0.8
